#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
       114   -3.7429461254e+01    1.4164354870e+03   -7.0203073696e+01    3.2773612443e+01    1.1941513893e+01   -8.2144587589e+01    1.2800000000e+04    2.8276558784e-02    8.3393229167e-01
       115   -3.7247425830e+01    1.4287426164e+03   -7.2684600684e+01    3.5437174855e+01    1.2029027603e+01   -8.4713628288e+01    1.2800000000e+04    2.8269188374e-02    8.3286458333e-01
       116   -3.7726569579e+01    1.6445896387e+03   -7.4194186094e+01    3.6467616515e+01    1.1880662266e+01   -8.6074848360e+01    1.2800000000e+04    2.8232726899e-02    8.3234375000e-01
       117   -3.7478404568e+01    1.5047961378e+03   -7.1337680009e+01    3.3859275441e+01    1.2003757386e+01   -8.3341437395e+01    1.2800000000e+04    2.8290685796e-02    8.3480468750e-01
       118   -3.7360871907e+01    1.4497156124e+03   -7.2815820911e+01    3.5454949003e+01    1.2011680359e+01   -8.4827501269e+01    1.2800000000e+04    2.8303498237e-02    8.3454427083e-01
       119   -3.7252240024e+01    1.4092939320e+03   -7.2089275403e+01    3.4837035379e+01    1.2055860996e+01   -8.4145136399e+01    1.2800000000e+04    2.8300801787e-02    8.3446614583e-01
       120   -3.7370858652e+01    1.4185858007e+03   -7.2761997035e+01    3.5391138382e+01    1.2156432797e+01   -8.4918429832e+01    1.2800000000e+04    2.8263842529e-02    8.2910156250e-01
       121   -3.7584387988e+01    1.4844039775e+03   -7.2470186787e+01    3.4885798799e+01    1.2121832647e+01   -8.4592019434e+01    1.2800000000e+04    2.8284191382e-02    8.3216145833e-01
       122   -3.7587905368e+01    1.4496013725e+03   -7.3555073120e+01    3.5967167752e+01    1.1985666709e+01   -8.5540739828e+01    1.2800000000e+04    2.8192821689e-02    8.2638020833e-01
       123   -3.7436692759e+01    1.4261568448e+03   -7.1529318446e+01    3.4092625687e+01    1.2098072374e+01   -8.3627390820e+01    1.2800000000e+04    2.8308664805e-02    8.3359375000e-01
       124   -3.7173479618e+01    1.4062726670e+03   -7.2892340235e+01    3.5718860618e+01    1.2079969555e+01   -8.4972309790e+01    1.2800000000e+04    2.8293844897e-02    8.3199218750e-01
       125   -3.8233313273e+01    1.9362189356e+03   -7.2729206389e+01    3.4495893116e+01    1.2101440177e+01   -8.4830646566e+01    1.2800000000e+04    2.8243588228e-02    8.3117187500e-01
       126   -3.7580556228e+01    1.5203652581e+03   -7.3207592663e+01    3.5627036435e+01    1.2012594834e+01   -8.5220187497e+01    1.2800000000e+04    2.8296876265e-02    8.3486979167e-01
       127   -3.7827456781e+01    1.6396674659e+03   -7.0382514286e+01    3.2555057505e+01    1.2092913483e+01   -8.2475427768e+01    1.2800000000e+04    2.8331617075e-02    8.3484375000e-01
       128   -3.7718446672e+01    1.5092608905e+03   -7.3356465011e+01    3.5638018339e+01    1.2300658844e+01   -8.5657123855e+01    1.2800000000e+04    2.8285299141e-02    8.3057291667e-01
       129   -3.8303668874e+01    1.8356543949e+03   -7.5035701119e+01    3.6732032245e+01    1.2087047366e+01   -8.7122748486e+01    1.2800000000e+04    2.8255794771e-02    8.2988281250e-01
       130   -3.7436132157e+01    1.4394703286e+03   -7.1418428274e+01    3.3982296117e+01    1.2068960858e+01   -8.3487389133e+01    1.2800000000e+04    2.8298566304e-02    8.3255208333e-01
       131   -3.7181214192e+01    1.4030294940e+03   -7.2957124702e+01    3.5775910509e+01    1.2040169906e+01   -8.4997294607e+01    1.2800000000e+04    2.8286624985e-02    8.3087239583e-01
       132   -3.7362486178e+01    1.4163936806e+03   -7.1019964714e+01    3.3657478536e+01    1.2007537452e+01   -8.3027502166e+01    1.2800000000e+04    2.8307821782e-02    8.3220052083e-01
       133   -3.7282640806e+01    1.4147188220e+03   -7.1499590529e+01    3.4216949723e+01    1.1948592071e+01   -8.3448182600e+01    1.2800000000e+04    2.8249017627e-02    8.3148437500e-01
       134   -3.7598521263e+01    1.4349556233e+03   -7.3192326879e+01    3.5593805616e+01    1.2076675910e+01   -8.5269002789e+01    1.2800000000e+04    2.8247965264e-02    8.2916666667e-01
